Number,Title,URL,Date
1,KSU researcher using VR to improve STEM education,https://www.kennesaw.edu/news/stories/2026/ksu-researcher-using-vr-improve-stem-education.php,"January 28, 2026"
2,Researcher seeks to help robots have a more human touch,https://www.kennesaw.edu/news/stories/2026/researcher-seeks-help-robots-more-human.php,"January 27, 2026"
3,"Winter weather update: Kennesaw State to open and resume normal operations on Tuesday, Jan. 27",https://www.kennesaw.edu/news/stories/2026/closure-winter-weather-updates-january-2026.php,"January 26, 2026"
4,Kennesaw State alumnus nominated for National Superintendent of the Year honor,https://www.kennesaw.edu/news/stories/2026/ksu-alumnus-nominated-national-superintendent-honor.php,"January 23, 2026"
5,Business builds community through decade-long support of Kennesaw State athletics,https://www.kennesaw.edu/news/stories/2026/business-builds-community-through-support-ksu-athletics.php,"January 22, 2026"
6,Alumna carves unique path toward sports journalism career,https://www.kennesaw.edu/news/stories/2026/alumna-carves-unique-path-sports-journalism-career.php,"January 21, 2026"
7,Company delivers industry insights and robotics experience for KSU students,https://www.kennesaw.edu/news/stories/2026/ups-delivers-industry-insights-robotics-ksu-students.php,"January 20, 2026"
8,Family champions business education in Coles College,https://www.kennesaw.edu/news/stories/2026/family-champions-business-education-coles-college.php,"January 16, 2026"
9,Family strengthens Kennesaw State legacy with healthcare scholarship,https://www.kennesaw.edu/news/stories/2026/hayes-family-strengthens-ksu-legacy-healthcare-scholarship.php,"January 15, 2026"
10,Mickey Dunn Stadium roars to life this spring,https://www.kennesaw.edu/news/stories/2026/mickey-dunn-stadium-roars-to-life-this-spring.php,"January 14, 2026"
